k;flow;time;aug_paths
1;1;15;1
1;1;13;1
1;1;13;1
1;1;16;1
1;1;12;1
1;1;16;1
1;1;15;1
1;1;15;1
1;1;15;1
1;1;13;1
2;4;50;2
2;3;58;2
2;4;50;2
2;5;65;2
2;4;66;2
2;3;58;2
2;3;60;2
2;4;58;2
2;3;56;2
2;3;58;2
3;8;160;4
3;6;168;5
3;5;181;4
3;8;182;4
3;8;167;4
3;5;176;4
3;9;164;5
3;9;171;5
3;8;183;5
3;10;187;5
4;34;442;12
4;29;405;13
4;33;416;14
4;30;403;14
4;24;404;13
4;12;410;6
4;14;400;7
4;30;397;13
4;19;398;13
4;21;401;10
5;63;1023;29
5;66;1019;28
5;70;998;29
5;81;1018;32
5;71;1002;26
5;43;994;17
5;57;996;26
5;45;1004;19
5;42;1024;22
5;55;994;21
6;149;2394;49
6;169;2638;49
6;229;2483;61
6;130;2506;42
6;160;2421;47
6;194;2431;57
6;207;2802;66
6;198;2395;65
6;229;2434;70
6;158;2458;44
7;419;5923;109
7;428;5881;103
7;460;5750;107
7;468;5650;114
7;454;5646;115
7;454;5690;108
7;479;5686;117
7;244;5618;61
7;393;5797;97
7;468;5657;120
8;905;13301;157
8;1046;13032;169
8;1233;13177;219
8;636;13020;117
8;779;12919;126
8;832;12974;141
8;829;13027;140
8;928;13002;158
8;924;13114;142
8;811;13116;129
9;1810;30018;267
9;1996;31287;278
9;2067;30135;303
9;2061;30143;282
9;1874;30194;249
9;2399;30225;318
9;2454;30983;325
9;2584;30331;344
9;1774;29918;235
9;1672;29916;204
10;6402;70022;592
10;5041;69354;458
10;4284;68979;409
10;5783;70171;542
10;5317;69333;510
10;4986;68891;488
10;3421;68589;311
10;4505;72444;423
10;4243;69921;421
10;4767;68505;443
11;9612;161371;714
11;6715;164810;528
11;8764;169181;643
11;11161;162790;841
11;12518;164926;927
11;7563;155997;551
11;12215;163908;887
11;11832;162570;885
11;10634;159239;778
11;9985;162361;731
12;25228;387900;1252
12;22638;380554;1084
12;17724;374509;871
12;23397;380192;1171
12;22309;382719;1124
12;25409;392462;1286
12;20512;371773;1041
12;22385;375912;1119
12;19620;368676;975
12;21196;372855;1038
13;51836;933934;1955
13;55070;960849;2150
13;56471;988173;2184
13;41725;935248;1580
13;46568;959790;1808
13;52256;960691;2002
13;42180;909319;1647
13;55845;973360;2142
13;57870;1018483;2240
13;45525;945024;1716
14;105720;2348498;2712
14;95112;2303806;2426
14;102988;2489685;2714
14;91367;2383293;2377
14;98983;2408088;2608
14;99382;2465010;2563
14;100243;2335513;2604
14;96652;2314518;2540
14;88944;2190753;2340
14;135644;2570951;3492
15;222348;9662614;4404
15;279232;10660363;5414
15;298837;10215768;5832
15;216327;8463595;4277
15;261435;9595500;5206
15;214216;9987356;4203
15;163647;7021209;3180
15;259257;8668124;5147
15;212298;8450275;4107
15;225794;8469122;4433
16;527341;48817434;7104
16;431274;41866387;5709
16;439711;40483723;5890
16;342711;36566237;4458
16;421488;36032175;5587
16;459356;41408778;6203
16;439634;43754462;5889
16;528507;49332753;7085
16;474869;43483162;6320
16;461603;45668893;6230
