k;i;size;time
3;1;7;10
3;1;6;5
3;1;6;5
3;1;6;5
3;1;6;6
3;1;7;7
3;1;6;5
3;1;7;7
3;1;7;7
3;1;6;7
3;1;6;7
3;1;7;7
3;1;7;7
3;1;6;7
3;1;6;7
3;1;6;7
3;1;7;7
3;1;6;8
3;1;7;7
3;1;6;7
3;1;7;7
3;1;7;7
3;1;6;8
3;1;7;7
3;1;7;7
3;1;7;7
3;1;6;7
3;1;6;8
3;1;6;7
3;1;6;8
3;1;6;8
3;1;6;7
3;1;8;9
3;1;8;7
3;1;6;7
3;1;6;8
3;1;6;6
3;1;7;7
3;1;7;7
3;1;6;7
3;1;7;8
3;1;6;7
3;1;6;7
3;1;7;6
3;1;7;7
3;1;6;21
3;1;6;6
3;1;7;5
3;1;6;5
3;1;6;7
3;1;6;8
3;1;6;7
3;1;7;7
3;1;6;5
3;1;6;5
3;1;7;5
3;1;7;5
3;1;6;5
3;1;7;5
3;1;7;5
3;1;6;7
3;1;6;8
3;1;6;5
3;1;6;5
3;1;7;5
3;1;6;5
3;1;6;5
3;1;7;5
3;1;7;5
3;1;7;6
3;1;7;7
3;1;6;9
3;1;6;5
3;1;7;6
3;1;6;5
3;1;6;5
3;1;8;5
3;1;7;7
3;1;7;6
3;1;6;6
3;1;7;7
3;1;7;5
3;1;7;5
3;1;6;5
3;1;8;5
3;1;6;5
3;1;6;5
3;1;6;5
3;1;7;6
3;1;6;7
3;1;6;7
3;1;7;7
3;1;6;7
3;1;7;5
3;1;6;5
3;1;7;5
3;1;7;5
3;1;7;5
3;1;7;5
3;1;7;5
3;1;6;5
3;1;7;6
3;1;6;5
3;1;6;23
3;1;6;7
3;1;6;6
3;1;7;8
3;1;7;6
3;1;6;7
3;1;6;13
3;1;7;7
3;1;7;7
3;1;6;5
3;1;6;7
3;1;6;7
3;1;6;7
3;1;6;7
3;1;6;7
3;1;7;7
3;1;6;7
3;1;7;7
3;1;7;7
3;1;7;7
3;1;7;6
3;1;6;5
3;1;7;7
3;1;6;7
3;1;7;7
3;1;6;7
3;1;6;7
3;1;7;5
3;1;7;5
3;1;7;6
3;1;6;7
3;1;7;7
3;1;7;7
3;1;6;7
3;1;6;7
3;1;7;6
3;1;6;7
3;1;6;7
3;1;7;7
3;1;7;8
3;1;6;5
3;1;6;7
3;1;7;7
3;1;6;36
3;1;6;8
3;1;6;7
3;1;6;6
3;1;6;8
3;1;7;8
3;1;6;7
3;1;6;18
3;1;6;19
3;1;6;7
3;1;7;7
3;1;6;7
3;1;7;6
3;1;7;7
3;1;6;7
3;1;6;7
3;1;6;6
3;1;6;10
3;1;7;7
3;1;6;19
3;1;7;8
3;1;6;8
3;1;6;8
3;1;7;7
3;1;6;32
3;1;7;7
3;1;6;7
3;1;7;8
3;1;7;9
3;1;6;7
3;1;6;7
3;1;7;7
3;1;6;21
3;1;6;65
3;1;6;8
3;1;7;8
3;1;6;7
3;1;6;6
3;1;6;7
3;1;6;7
3;1;6;7
3;1;6;7
3;1;6;7
3;1;6;8
3;1;7;7
3;1;6;7
3;1;7;7
3;1;7;6
3;1;6;6
3;1;7;7
3;1;8;7
3;1;7;7
3;1;7;5
3;1;6;6
3;1;6;7
3;1;6;6
3;1;6;7
3;1;6;7
3;1;6;5
3;1;6;6
3;1;7;7
3;1;7;7
3;1;6;7
3;1;6;7
3;1;6;7
3;1;7;6
3;1;6;7
3;1;6;6
3;1;7;7
3;1;6;7
3;1;7;8
3;1;7;7
3;1;7;7
